"","Aparencia","Temperatura","Umidade","Vento","Jogar"
"1","sol",85,85,"FALSO","nao"
"2","sol",80,90,"VERDADEIRO","nao"
"3","nublado",83,86,"FALSO","sim"
"4","chuva",70,85,"FALSO","sim"
"5","chuva",68,80,"FALSO","sim"
"6","chuva",65,70,"VERDADEIRO","nao"
"7","sol",64,65,"VERDADEIRO","sim"
"8","sol",73.5,95,"FALSO","nao"
"9","sol",69,70,"FALSO","sim"
"10","chuva",75,85,"FALSO","sim"
"11","sol",75,70,"VERDADEIRO","sim"
"12","nublado",72,90,"VERDADEIRO","sim"
"13","nublado",81,75,"FALSO","sim"
"14","chuva",71,91,"VERDADEIRO","nao"
